Dayofweek,Day,Month,Year,Hour,Minutes,Category,PdDistrict,X,Y
2,11,5,2015,23,59,23,9,-122.4196718,37.76505012
2,11,5,2015,23,56,8,3,-122.4213053,37.73216388
2,11,5,2015,23,45,3,7,-122.5082384,37.75188708
2,11,5,2015,23,35,11,1,-122.4193872,37.78378998
2,11,5,2015,23,30,8,10,-122.4179397,37.77086882
2,11,5,2015,23,20,5,9,-122.4240369,37.76275139
2,11,5,2015,23,17,2,10,-122.4102935,37.78223059
2,11,5,2015,23,0,17,8,-122.4082017,37.78688491
2,11,5,2015,23,0,8,8,-122.4082017,37.78688491
2,11,5,2015,23,0,2,8,-122.4082017,37.78688491
2,11,5,2015,23,0,3,3,-122.4260752,37.72693585
2,11,5,2015,23,0,3,4,-122.3907533,37.77437923
2,11,5,2015,23,0,3,5,-122.5005171,37.77648768
2,11,5,2015,23,0,3,10,-122.4065085,37.78033132
2,11,5,2015,23,0,3,1,-122.4257789,37.78231924
2,11,5,2015,23,0,4,7,-122.4661968,37.71428028
2,11,5,2015,23,0,3,7,-122.4668619,37.75653395
2,11,5,2015,23,0,3,7,-122.4862455,37.75568145
2,11,5,2015,22,51,2,10,-122.4034048,37.77542071
2,11,5,2015,22,45,2,9,-122.4181201,37.76030123
2,11,5,2015,22,30,7,8,-122.4169161,37.78439445
2,11,5,2015,22,30,14,4,-122.4027012,37.73026636
2,11,5,2015,22,30,2,4,-122.4027012,37.73026636
2,11,5,2015,22,30,8,4,-122.4027012,37.73026636
2,11,5,2015,22,23,9,3,-122.4052482,37.71172271
2,11,5,2015,22,23,11,3,-122.4052482,37.71172271
2,11,5,2015,22,23,11,3,-122.4052482,37.71172271
2,11,5,2015,22,20,2,3,-122.4208966,37.74403815
2,11,5,2015,22,17,6,10,-122.4047493,37.7742801
2,11,5,2015,22,15,3,10,-122.3920823,37.78184577
2,11,5,2015,22,12,13,9,-122.4194705,37.76227017
2,11,5,2015,22,12,2,9,-122.4194705,37.76227017
2,11,5,2015,22,12,5,9,-122.4194705,37.76227017
2,11,5,2015,22,12,5,9,-122.4194705,37.76227017
2,11,5,2015,22,5,6,4,-122.3980228,37.75862616
2,11,5,2015,22,0,3,6,-122.4190877,37.80780155
2,11,5,2015,22,0,3,1,-122.4239859,37.79855258
2,11,5,2015,22,0,5,3,-122.4208966,37.74403815
2,11,5,2015,21,41,2,3,-122.4216445,37.74299701
2,11,5,2015,21,41,6,6,-122.4168291,37.7881787
2,11,5,2015,21,30,4,1,-122.4239222,37.77729679
2,11,5,2015,21,30,3,7,-122.4948235,37.75434848
2,11,5,2015,21,20,3,7,-122.4756475,37.72852806
2,11,5,2015,21,15,7,10,-122.4042702,37.78447885
2,11,5,2015,21,10,3,6,-122.4001718,37.79390507
2,11,5,2015,21,7,4,3,-122.4335361,37.73355614
2,11,5,2015,21,0,4,4,-122.3883584,37.73530493
2,11,5,2015,21,0,3,1,-122.4203074,37.78869895
2,11,5,2015,21,0,5,10,-122.3967072,37.78554295
